Species_ID	Gene_ID	Group	Annotation	Main_catalytic_domain_(Pssm-ID)	Additional_domains_(Pssm-ID)	Notes
Apec	DN107972.c0.g1.i1.p1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_	-
Apur	scaffold.124.7	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Bgla	XP_013067134.2	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552;_partial)	-
Cang	XP_052701295.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_	-
Cari	EVM0004613.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_	-
Cflu	DN101169.c0.g1.i1.p1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Cgig	XP_011413445.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_	-
Cpli	DN47094.c0.g1.i1.p1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552;_partial)	-
Csin	Hic.asm.10.638	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Csin	Hic.asm.10.437	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Cvir	XP_022333332.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Cvir	XP_022334050.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Dpol	XP_052272379.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552;_partial)	-
Gaeg	XP_041352454.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Hbia	M00000018167	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552;_partial)	-
Hruf	XP_046371021.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Mare	XP_052769228.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Mcal	XP_052106467.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552;_partial)	-
Mchi	DN23553.c0.g1.i1.p1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Mcor	CAC5374046.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552;_partial)	-
Medu	CAG2201348.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Mgal	VDI17457.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552;_partial)	-
Mmar	MMAM00000008663	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552;_partial)	-
Mmer	XP_045173733.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872;_partial);_HNF3_C-terminal_domain_(430552)	-
Mmod	DN103780.c0.g1.i1.p1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872;_partial);_	-
Mner	g192217.t1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Mphi	scaf.4682.0.0	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Obim	XP_014788201.2	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_	-
Oedu	XP_048735259.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_	-
Pcan	XP_025090786.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552;_partial)	-
Pcor	DN3042.c0.g1.i1.p1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872;_partial);_HNF3_C-terminal_domain_(430552)	-
Pgen	DN174637.c0.g1.i1.p1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872;_partial);_	-
Pmar	DN30866.c0.g1.i1.p1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_	-
Pmax	XP_033734080.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Pstr	KAK3597847.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552;_partial)	-
Pvir	s00068g447	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Pyes	XP_021361791.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Rphi	XP_060590755.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Sbro	EVM0003194.1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_	-
Scon	Chr4.2670	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Sglo	Sgl008464	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872);_HNF3_C-terminal_domain_(430552)	-
Sgra	DN78052.c0.g1.i1.p1	Fox	Fox-A	Forkhead_domain_A1_(410812)	Forkhead_N-terminal_(369872;_partial);_HNF3_C-terminal_domain_(430552)	-
Acal	XP_005089018.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Airc	Contig636.38	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Apur	scaffold.313.50	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Bgla	XP_013078204.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Cang	XP_052700333.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Cari	EVM0003536.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Cflu	DN98613.c0.g1.i1.p1	Fox	Fox-B	Forkhead_domain_B_(410790)	N/A	-
Cgig	XP_011445364.2	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Csin	Hic.asm.16.1347	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Cvir	XP_022334612.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Dpol	XP_052233250.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Dpol	XP_052256324.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Dpol	XP_052281977.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Gaeg	XP_041361159.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Hbia	M00000029836	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Hruf	XP_046358590.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Lorb	DN5589.c3.g1.i1.p1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Mare	XP_052791461.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Mcal	XP_052100219.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Mcor	CAC5382565.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Medu	CAG2229716.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Mgal	VDI69670.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Mmar	MMAM00000015629	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Mmer	XP_045215505.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Mner	g250725.t1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Mphi	scaf.10920.0.0	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Obim	XP_052832317.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Oedu	XP_048732871.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Osin	XP_029653697.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Pcan	XP_025078261.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Pcor	DN23979.c0.g1.i1.p1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Pcor	DN23979.c1.g1.i1.p1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Pmax	XP_033749587.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Pstr	KAK3607900.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Pvir	s00189g215	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Pyes	XP_021357620.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Rphi	XP_060564412.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Scon	Chr5.12	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Sglo	Sgl012012	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Tgra	KAJ8304921.1	Fox	Fox-B	Forkhead_domain_B2_(410817)	N/A	-
Acal	XP_005106277.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Airc	Contig58.63	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Amar	Ama17094	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Apur	scaffold.577.50	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Bgla	XP_055890240.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Cang	XP_052715579.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Cari	EVM0002771.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Cflu	DN96576.c0.g1.i1.p1	Fox	Fox-C	Forkhead_domain_C(410791)	N/A	-
Cgig	XP_011417585.2	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Cpli	DN157725.c0.g1.i1.p1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Csin	Hic.asm.17.1357	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Csin	Hic.asm.17.1443	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Cvir	XP_022346235.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Dpol	XP_052247387.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Gaeg	XP_041377087.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Hbia	M00000031058	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Hruf	XP_046372770.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Mare	XP_052819073.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Mcal	XP_052063314.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Mchi	DN13809.c0.g1.i1.p1	Fox	Fox-C	Forkhead_domain_C(410791)	N/A	-
Mcor	CAC5374004.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Medu	CAG2206844.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Mgal	VDI22482.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Mmar	MMAM00000035616	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Mmer	XP_045194706.2	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Mner	g82158.t1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Mphi	scaf.69950.1.0	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Obim	XP_014786040.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Oedu	XP_048762038.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Osin	XP_029653806.2	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Pcan	XP_025115697.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Pcor	DN14158.c0.g2.i1.p1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Pcor	DN14158.c0.g5.i1.p1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Pmax	XP_033755061.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Pstr	KAK3590993.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Pvir	s02023g12	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Pyes	XP_021346967.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Rphi	XP_060597004.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Sbro	EVM0022192.1	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Scon	Chr11.448	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Sglo	Sgl009485	Fox	Fox-C	Forkhead_domain_L1_(410801)	N/A	-
Tgra	KAJ8303551.1	Fox	Fox-C	Forkhead_domain_C2_(410819)	N/A	-
Acal	XP_035824261.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Airc	Contig1003.15	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Amar	Ama11686	Fox	Fox-D	Forkhead_domain_D3_(410821)	N/A	-
Apec	DN87882.c0.g1.i1.p1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Apur	scaffold.13962.11	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Bgla	XP_013096936.2	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Cang	XP_052688370.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Cari	EVM0005770.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Cgig	XP_011446328.2	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Cpli	DN23774.c0.g1.i1.p1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Csin	Hic.asm.11.1425	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Cvir	XP_022316146.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Dpol	XP_052256035.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Dpol	XP_052256591.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Gaeg	XP_041356731.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Hbia	M00000030583	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Hruf	XP_046329290.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Lorb	DN224803.c0.g1.i1.p1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mare	XP_052777467.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mare	XP_052777725.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mcal	XP_052095202.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mcal	XP_052075808.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mcor	CAC5382691.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mcor	CAC5407497.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Medu	CAG2204666.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Medu	CAG2248150.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Medu	CAG2203862.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mgal	VDI07735.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mgal	VDH93066.1	Fox	Fox-D	Forkhead_domain_D3_(410821)	N/A	-
Mmar	MMAM00000002467	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mmer	XP_045157253.2	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mner	g192986.t1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mphi	scaf.69489.1.2	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Mphi	scaf.42856.0.4	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Obim	XP_052826256.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Oedu	XP_048762457.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Pcan	XP_025110523.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Pcor	DN15187.c0.g1.i5.p1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Pmar	DN31265.c0.g1.i1.p1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Pmax	XP_033737945.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Pstr	KAK3592139.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Pvir	s01402g91	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Pvir	s00097g340	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Pyes	XP_021345225.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Rphi	XP_060585828.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Sbro	EVM0002351.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Scon	Chr8.2069	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Sglo	Sgl013024	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Tgra	KAJ8306624.1	Fox	Fox-D	Forkhead_domain_D4_(410822)	N/A	-
Airc	Contig989.19	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Amar	Ama12850	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Apur	scaffold.253.23	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Cang	XP_052688878.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Cari	EVM0003839.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Cflu	DN108936.c2.g1.i1.p1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Cgig	XP_011444776.2	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Cvir	XP_022319236.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Dpol	XP_052286560.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Hbia	M00000038943	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Hruf	XP_046353578.2	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Mare	XP_052778423.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Mcal	XP_052075782.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Mcor	CAC5384360.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Medu	CAG2217852.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Medu	CAG2194171.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Medu	CAG2199036.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Mgal	VDH90460.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Mmar	MMAM00000033594	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Mmer	XP_045157592.2	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Mmod	DN117568.c0.g1.i1.p1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Mner	g241620.t1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Mphi	scaf.31587.0.4	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Oedu	XP_048762291.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Pmar	DN27017.c0.g1.i1.p1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Pmax	XP_033737819.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Pstr	KAK3583103.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Pvir	s00145g54	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Pyes	XP_021378858.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Rdec	DN24595.c4.g1.i1.p1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Rphi	XP_060578687.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Sbro	EVM0010028.1	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Sglo	Sgl009305	Fox	Fox-E	Forkhead_domain_E_(410793)	N/A	-
Acal	XP_005105969.2	Fox	Fox-F	Forkhead_domain_F1_(410823)	N/A	-
Airc	Contig1133.18	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Amar	Ama39500	Fox	Fox-F	Forkhead_domain_F1_(410823)	N/A	-
Amar	Ama32615	Fox	Fox-F	Forkhead_domain_F1_(410823)	N/A	-
Apec	DN75342.c0.g1.i1.p1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Apur	scaffold.860.37	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Bgla	XP_055892380.1	Fox	Fox-F	Forkhead_domain_F1_(410823)	N/A	-
Cang	XP_052712246.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Cari	EVM0011190.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Cgig	XP_011445317.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Cpli	DN7628.c0.g1.i1.p1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Csin	Hic.asm.17.158	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Cvir	XP_022335664.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Dpol	XP_052232755.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Gaeg	XP_041375666.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Hbia	M00000007664	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Hruf	XP_046372649.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Mare	XP_052815084.1	Fox	Fox-F	Forkhead_domain_F1_(410823)	N/A	-
Mcal	XP_052060477.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Mcor	CAC5387332.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Medu	CAG2252875.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Mgal	VDI21852.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Mmar	MMAM00000030848	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Mmer	XP_045194642.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Mmod	DN104261.c0.g1.i1.p1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Mner	g106129.t1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Mphi	scaf.40546.0.2	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Obim	XP_014777539.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Oedu	XP_048732202.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Pcan	XP_025116010.1	Fox	Fox-F	Forkhead_domain_F1_(410823)	N/A	-
Pcor	DN180603.c0.g1.i1.p1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Pcor	DN129940.c0.g1.i1.p1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Pmar	DN14344.c0.g1.i1.p1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Pmax	XP_033755005.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Pstr	KAK3601654.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Pvir	s133835g10	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Pyes	XP_021358008.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Rphi	XP_060601663.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Sbro	EVM0015186.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Scon	Chr11.927	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Scon	Chr11.810	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Sglo	Sgl005267	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Tgra	KAJ8302829.1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Tsqu	DN137576.c0.g1.i1.p1	Fox	Fox-F	Forkhead_domain_F_(410794)	N/A	-
Acal	XP_005099252.2	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Acal	XP_005099253.1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Airc	Contig625.38	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Amar	Ama10381	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Apec	DN10836.c0.g1.i1.p1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Apur	scaffold.36470.28	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Bgla	XP_055879295.1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Cang	XP_052699015.1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Cari	EVM0001891.1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Cflu	DN104980.c0.g1.i2.p1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Cgig	XP_011427689.2	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Cpli	DN58419.c0.g1.i1.p1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Csin	Hic.asm.10.1034	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Cvir	XP_022334541.1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Dpol	XP_052270224.1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Dpol	XP_052270147.1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Gaeg	XP_041354930.1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Gaeg	XP_041354700.1	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
Hbia	M00000035850	Fox	Fox-G	Forkhead_domain_G_(410795)	N/A	-
